"Silty clay"||"158387208"|"161083897"
"Silty clay loam"||"158387209"|"161083898"
"Silty clay"||"158387210"|"161083899"
"Silty clay loam"||"158387211"|"161083900"
"Silty clay"||"158387212"|"161083901"
"Silty clay loam"||"158387213"|"161083902"
"Silty clay"||"158387215"|"161083904"
"Silty clay loam"||"158387216"|"161083905"
"Silty clay"||"158387214"|"161083903"
"Silty clay"||"158387217"|"161083906"
"Silty clay"||"158387221"|"161083910"
"Silty clay"||"158387218"|"161083907"
"Silty clay"||"158387219"|"161083908"
"Silty clay loam"||"158387220"|"161083909"
"Silty clay"||"158387222"|"161083911"
"Silty clay loam"||"158387223"|"161083912"
"Silty clay"||"158387224"|"161083913"
"Silty clay loam"||"158387225"|"161083914"
"Silty clay"||"158387226"|"161083915"
"Silty clay loam"||"158387227"|"161083916"
"Coarse sand"||"158386919"|"161083608"
"Coarse sand"||"158386920"|"161083609"
"Sand"||"158386921"|"161083610"
"Fine sand"||"158386922"|"161083611"
|"Bedrock"|"158387365"|"161084030"
"Silty clay loam"||"158387363"|"161084028"
"Silty clay loam"||"158387364"|"161084029"
|"Bedrock"|"158387366"|"161084031"
|"Bedrock"|"158386929"|"161083618"
"Silty clay loam"||"158386927"|"161083616"
"Silty clay loam"||"158386928"|"161083617"
"Silty clay"||"158387370"|"161084035"
"Silty clay"||"158387371"|"161084036"
"Silty clay"||"158387372"|"161084037"
"Silty clay"||"158387369"|"161084034"
"Silty clay"||"158387367"|"161084032"
"Silty clay"||"158387368"|"161084033"
"Silty clay"||"158387374"|"161084039"
"Silty clay"||"158387375"|"161084040"
"Silty clay"||"158387373"|"161084038"
"Silty clay loam"||"158387378"|"161084043"
"Silty clay loam"||"158387376"|"161084041"
"Silty clay loam"||"158387377"|"161084042"
"Silty clay"||"158386965"|"161083654"
"Silty clay"||"158386966"|"161083655"
"Silty clay loam"||"158387382"|"161084047"
"Silty clay loam"||"158387383"|"161084048"
"Silty clay loam"||"158387384"|"161084049"
"Silty clay"||"158387379"|"161084044"
"Silty clay"||"158387380"|"161084045"
"Silty clay"||"158387381"|"161084046"
"Silty clay"||"158387385"|"161084050"
"Silty clay"||"158387386"|"161084051"
"Silty clay"||"158387387"|"161084052"
"Silty clay loam"||"158387390"|"161084055"
"Silty clay loam"||"158387388"|"161084053"
"Silty clay loam"||"158387389"|"161084054"
"Silty clay loam"||"158387396"|"161084061"
"Silty clay"||"158387392"|"161084057"
"Silty clay"||"158387393"|"161084058"
"Silty clay"||"158387391"|"161084056"
"Silty clay loam"||"158387395"|"161084060"
"Silty clay loam"||"158387394"|"161084059"
"Silty clay loam"||"158387400"|"161084065"
"Silty clay loam"||"158387401"|"161084066"
"Silty clay"||"158387398"|"161084063"
"Silty clay"||"158387399"|"161084064"
"Silty clay"||"158387397"|"161084062"
"Silty clay loam"||"158387402"|"161084067"
"Silty clay"||"158387403"|"161084068"
"Silty clay loam"||"158387405"|"161084070"
"Silty clay loam"||"158387404"|"161084069"
"Silty clay loam"||"158387406"|"161084071"
"Silty clay loam"||"158387410"|"161084075"
"Silty clay loam"||"158387409"|"161084074"
"Silty clay loam"||"158387408"|"161084073"
"Silty clay"||"158387407"|"161084072"
"Sand"||"158387237"|"161083926"
"Sand"||"158387234"|"161083923"
"Loamy fine sand"||"158387235"|"161083924"
"Loamy sand"||"158387236"|"161083925"
"Sand"||"158387238"|"161083927"
"Loamy fine sand"||"158387239"|"161083928"
"Loamy sand"||"158387240"|"161083929"
"Clay"||"158386979"|"161083668"
"Clay"||"158386981"|"161083670"
"Clay"||"158386980"|"161083669"
"Clay"||"158387415"|"161084080"
"Clay"||"158387416"|"161084081"
"Clay"||"158387414"|"161084079"
"Clay"||"158387419"|"161084084"
"Clay"||"158387417"|"161084082"
"Clay"||"158387418"|"161084083"
"Clay"||"158387421"|"161084086"
"Clay"||"158387420"|"161084085"
"Clay"||"158387422"|"161084087"
"Sandy loam"||"158387425"|"161084090"
"Sandy loam"||"158387426"|"161084091"
"Clay loam"||"158387423"|"161084088"
"Clay loam"||"158387424"|"161084089"
"Clay"||"158387427"|"161084092"
"Silty clay"||"158387431"|"161084096"
"Clay"||"158387428"|"161084093"
"Silty clay"||"158387429"|"161084094"
"Silty clay"||"158387430"|"161084095"
"Silty clay"||"158387432"|"161084097"
"Clay loam"||"158387241"|"161083930"
"Clay loam"||"158387244"|"161083933"
"Sandy loam"||"158387242"|"161083931"
"Sandy loam"||"158387243"|"161083932"
"Sandy loam"||"158387246"|"161083935"
"Sandy loam"||"158387248"|"161083937"
"Clay loam"||"158387245"|"161083934"
"Clay loam"||"158387247"|"161083936"
"Clay loam"||"158387249"|"161083938"
"Clay loam"||"158387252"|"161083941"
"Sandy loam"||"158387251"|"161083940"
"Sandy loam"||"158387250"|"161083939"
"Silty clay loam"||"158387489"|"161084154"
"Silty clay loam"||"158387487"|"161084152"
"Silty clay loam"||"158387488"|"161084153"
"Silty clay"||"158387484"|"161084149"
"Silty clay"||"158387485"|"161084150"
"Silty clay"||"158387486"|"161084151"
"Silty clay"||"158387491"|"161084156"
"Silty clay"||"158387490"|"161084155"
"Silty clay"||"158387492"|"161084157"
"Silty clay"||"158387493"|"161084158"
"Loam"||"158387494"|"161084159"
"Silty clay"||"158387495"|"161084160"
"Silty clay"||"158387277"|"161083948"
"Silty clay loam"||"158387278"|"161083949"
|"Bedrock"|"158387279"|"161083950"
"Silty clay loam"||"158387280"|"161083951"
"Silty clay loam"||"158387281"|"161083952"
"Loam"||"158387086"|"161083775"
"Loamy sand"||"158387087"|"161083776"
"Sand"||"158387088"|"161083777"
"Silty clay"||"158387315"|"161083986"
"Silty clay"||"158387316"|"161083987"
"Clay"||"158387317"|"161083988"
"Silty clay loam"||"158387319"|"161083990"
"Silty clay loam"||"158387320"|"161083991"
