"MH-O (proposed)"|Yes|"78108906"|"144522835"
"MH-O (proposed)"|Yes|"78108907"|"144522836"
"MH-O (proposed)"|Yes|"78108908"|"144522837"
"MH-O (proposed)"|Yes|"78108910"|"144522839"
"MH-O (proposed)"|Yes|"78108909"|"144522838"
"MH-O (proposed)"|Yes|"78108911"|"144522840"
"CH"|Yes|"78108914"|"144522843"
"CH"|Yes|"78108912"|"144522841"
"CH"|Yes|"78108913"|"144522842"
"CH"|Yes|"78108915"|"144522844"
"CH"|Yes|"78108916"|"144522845"
"CH"|Yes|"78108917"|"144522846"
"SP"|No |"78108662"|"144522547"
"SP-SM"|Yes|"78108662"|"144522548"
"SP"|No |"78108663"|"144522549"
"SP-SM"|Yes|"78108663"|"144522550"
"CH"|Yes|"78109032"|"144522996"
"CL"|No |"78109032"|"144522997"
"CL"|Yes|"78109033"|"144522998"
"CH"|No |"78109033"|"144522999"
"SC"|No |"78109033"|"144523000"
"CL-K (proposed)"|No |"78108668"|"144522559"
"ML-K (proposed)"|Yes|"78108668"|"144522560"
"CL-K (proposed)"|No |"78108669"|"144522561"
"ML-K (proposed)"|Yes|"78108669"|"144522562"
"CH"|Yes|"78109039"|"144523004"
"CH"|Yes|"78109040"|"144523005"
"CH"|Yes|"78109041"|"144523006"
"CH"|Yes|"78109038"|"144523003"
"MH"|Yes|"78109036"|"144523001"
"MH"|Yes|"78109037"|"144523002"
"CH"|Yes|"78109043"|"144523010"
"MH"|No |"78109043"|"144523011"
"CH"|Yes|"78109044"|"144523012"
"MH"|No |"78109044"|"144523013"
"MH"|Yes|"78109042"|"144523007"
"OH"|No |"78109042"|"144523008"
"CH"|No |"78109042"|"144523009"
"CL"|Yes|"78109047"|"144523018"
"CH"|No |"78109047"|"144523019"
"MH"|Yes|"78109045"|"144523014"
"CL"|No |"78109045"|"144523015"
"CH"|Yes|"78109046"|"144523016"
"CL"|No |"78109046"|"144523017"
"MH"|Yes|"78108697"|"144522600"
"MH"|Yes|"78108698"|"144522601"
"MH"|Yes|"78109051"|"144523027"
"CL"|No |"78109051"|"144523028"
"CH"|Yes|"78109052"|"144523029"
"CL"|No |"78109052"|"144523030"
"CL"|Yes|"78109053"|"144523031"
"CH"|No |"78109053"|"144523032"
"MH"|Yes|"78109048"|"144523020"
"OH"|No |"78109048"|"144523021"
"CH"|No |"78109048"|"144523022"
"CH"|Yes|"78109049"|"144523023"
"MH"|No |"78109049"|"144523024"
"CH"|Yes|"78109050"|"144523025"
"MH"|No |"78109050"|"144523026"
"MH"|Yes|"78109054"|"144523033"
"OH"|No |"78109054"|"144523034"
"CH"|No |"78109054"|"144523035"
"CH"|Yes|"78109055"|"144523036"
"MH"|No |"78109055"|"144523037"
"CH"|Yes|"78109056"|"144523038"
"MH"|No |"78109056"|"144523039"
"CL"|Yes|"78109059"|"144523044"
"CH"|No |"78109059"|"144523045"
"MH"|Yes|"78109057"|"144523040"
"CL"|No |"78109057"|"144523041"
"CH"|Yes|"78109058"|"144523042"
"CL"|No |"78109058"|"144523043"
"CL"|Yes|"78109065"|"144523057"
"CH"|No |"78109065"|"144523058"
"CH"|Yes|"78109061"|"144523049"
"MH"|No |"78109061"|"144523050"
"CH"|Yes|"78109062"|"144523051"
"MH"|No |"78109062"|"144523052"
"MH"|Yes|"78109060"|"144523046"
"OH"|No |"78109060"|"144523047"
"CH"|No |"78109060"|"144523048"
"CH"|Yes|"78109064"|"144523055"
"CL"|No |"78109064"|"144523056"
"MH"|Yes|"78109063"|"144523053"
"CL"|No |"78109063"|"144523054"
"MH"|Yes|"78109069"|"144523066"
"CL"|No |"78109069"|"144523067"
"CH"|Yes|"78109070"|"144523068"
"CL"|No |"78109070"|"144523069"
"CH"|Yes|"78109067"|"144523062"
"MH"|No |"78109067"|"144523063"
"CH"|Yes|"78109068"|"144523064"
"MH"|No |"78109068"|"144523065"
"MH"|Yes|"78109066"|"144523059"
"OH"|No |"78109066"|"144523060"
"CH"|No |"78109066"|"144523061"
"CL"|Yes|"78109071"|"144523070"
"CH"|No |"78109071"|"144523071"
"MH"|Yes|"78109072"|"144523072"
"CH"|Yes|"78109074"|"144523075"
"CL"|No |"78109074"|"144523076"
"MH"|Yes|"78109073"|"144523073"
"CL"|No |"78109073"|"144523074"
"CL"|Yes|"78109075"|"144523077"
"CH"|No |"78109075"|"144523078"
